subject	session	modality	input	output	status	runtime_seconds	include_reason
sub-043	ses-02	T1w	/home/alexrees/scratch/bids/sub-043/ses-02/anat/sub-043_ses-02_run-01_T1w.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-043/ses-02/anat/sub-043_ses-02_run-01_T1w.nii.gz	PASS	283.759	always (high-res anatomical)
sub-043	ses-02	T1w	/home/alexrees/scratch/bids/sub-043/ses-02/anat/sub-043_ses-02_run-02_T1w.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-043/ses-02/anat/sub-043_ses-02_run-02_T1w.nii.gz	PASS	251.756	always (high-res anatomical)
sub-043	ses-02	T1w	/home/alexrees/scratch/bids/sub-043/ses-02/anat/sub-043_ses-02_run-03_T1w.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-043/ses-02/anat/sub-043_ses-02_run-03_T1w.nii.gz	PASS	266.169	always (high-res anatomical)
sub-043	ses-02	T1w	/home/alexrees/scratch/bids/sub-043/ses-02/anat/sub-043_ses-02_run-04_T1w.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-043/ses-02/anat/sub-043_ses-02_run-04_T1w.nii.gz	PASS	268.077	always (high-res anatomical)
sub-043	ses-02	T1w	/home/alexrees/scratch/bids/sub-043/ses-02/anat/sub-043_ses-02_run-05_T1w.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-043/ses-02/anat/sub-043_ses-02_run-05_T1w.nii.gz	PASS	241.448	always (high-res anatomical)
sub-043	ses-02	T1w	/home/alexrees/scratch/bids/sub-043/ses-02/anat/sub-043_ses-02_run-06_T1w.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-043/ses-02/anat/sub-043_ses-02_run-06_T1w.nii.gz	PASS	235.397	always (high-res anatomical)
sub-043	ses-02	FLAIR	/home/alexrees/scratch/bids/sub-043/ses-02/anat/sub-043_ses-02_run-01_FLAIR.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-043/ses-02/anat/sub-043_ses-02_run-01_FLAIR.nii.gz	PASS	241.041	always (high-res anatomical)
sub-043	ses-02	FLAIR	/home/alexrees/scratch/bids/sub-043/ses-02/anat/sub-043_ses-02_run-02_FLAIR.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-043/ses-02/anat/sub-043_ses-02_run-02_FLAIR.nii.gz	PASS	222.213	always (high-res anatomical)
sub-043	ses-02	TB1TFL	/home/alexrees/scratch/bids/sub-043/ses-02/anat/sub-043_ses-02_run-01_TB1TFL.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-043/ses-02/anat/sub-043_ses-02_run-01_TB1TFL.nii.gz	PASS	207.672	head FOV visible shape=(64, 64, 15) zooms=[3.44, 3.44, 10.0] fov_mm=[220.0, 220.0, 150.0]
sub-043	ses-02	TB1TFL	/home/alexrees/scratch/bids/sub-043/ses-02/anat/sub-043_ses-02_run-02_TB1TFL.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-043/ses-02/anat/sub-043_ses-02_run-02_TB1TFL.nii.gz	PASS	219.451	head FOV visible shape=(64, 64, 15) zooms=[3.44, 3.44, 10.0] fov_mm=[220.0, 220.0, 150.0]
sub-043	ses-02	TB1TFL	/home/alexrees/scratch/bids/sub-043/ses-02/anat/sub-043_ses-02_run-03_TB1TFL.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-043/ses-02/anat/sub-043_ses-02_run-03_TB1TFL.nii.gz	PASS	477.900	head FOV visible shape=(64, 64, 15) zooms=[3.44, 3.44, 10.0] fov_mm=[220.0, 220.0, 150.0]
sub-043	ses-02	TB1TFL	/home/alexrees/scratch/bids/sub-043/ses-02/anat/sub-043_ses-02_run-04_TB1TFL.nii.gz	/home/alexrees/scratch/derivatives/defacing/sub-043/ses-02/anat/sub-043_ses-02_run-04_TB1TFL.nii.gz	PASS	370.616	head FOV visible shape=(64, 64, 15) zooms=[3.44, 3.44, 10.0] fov_mm=[220.0, 220.0, 150.0]
